Geneid	Length
ENSMUSG00000064372	67
ENSMUSG00000064371	67
ENSMUSG00000064370	1144
ENSMUSG00000064368	519
ENSMUSG00000064363	1378
ENSMUSG00000064361	68
ENSMUSG00000064360	348
ENSMUSG00000064358	784
ENSMUSG00000064356	204
ENSMUSG00000064352	69
ENSMUSG00000064351	1545
ENSMUSG00000064350	67
ENSMUSG00000064348	71
ENSMUSG00000064347	69
ENSMUSG00000064346	67
ENSMUSG00000064344	69
ENSMUSG00000064343	71
ENSMUSG00000064342	69
ENSMUSG00000064340	75
ENSMUSG00000064339	1582
ENSMUSG00000064338	69
ENSMUSG00000124611	1057.76
ENSMUSG00000141320	230
ENSMUSG00000095134	1248
ENSMUSG00000095366	1394.59
ENSMUSG00000133777	282
ENSMUSG00000129048	405.333
ENSMUSG00000128091	662
ENSMUSG00000100246	695
ENSMUSG00000102011	437
ENSMUSG00000139044	1261
ENSMUSG00000100608	873
ENSMUSG00000100036	692
ENSMUSG00000099982	1498
ENSMUSG00000126677	1143
ENSMUSG00000102045	934
ENSMUSG00000101533	1499
ENSMUSG00000122736	740.5
ENSMUSG00000099529	696
ENSMUSG00000135148	1210
ENSMUSG00000123090	1204.5
ENSMUSG00000100067	967
ENSMUSG00000101850	696
ENSMUSG00000101984	802.5
ENSMUSG00000100391	615
ENSMUSG00000141808	1195.5
ENSMUSG00000100440	968
ENSMUSG00000100930	2167
ENSMUSG00000129333	340
ENSMUSG00000099675	315
ENSMUSG00000101915	864
ENSMUSG00000137493	282
ENSMUSG00000101250	694
ENSMUSG00000100355	696
ENSMUSG00000101931	967.5
ENSMUSG00000101866	2167
ENSMUSG00000133672	719.5
ENSMUSG00000124397	544.5
ENSMUSG00000140544	1189
ENSMUSG00000100655	696
ENSMUSG00000100028	315
ENSMUSG00000100973	923
ENSMUSG00000101092	696
ENSMUSG00000100854	615
ENSMUSG00000129173	271
ENSMUSG00000134337	1452
ENSMUSG00000101961	970
ENSMUSG00000138483	1195
ENSMUSG00000101989	2167
ENSMUSG00000102092	696
ENSMUSG00000099921	965.5
ENSMUSG00000099362	1139
ENSMUSG00000102127	2167
ENSMUSG00000101835	696
ENSMUSG00000129532	1201.5
ENSMUSG00000100449	696
ENSMUSG00000099633	962.5
ENSMUSG00000101405	2167
ENSMUSG00000099840	922
ENSMUSG00000141725	1414
ENSMUSG00000100881	696
ENSMUSG00000143245	1104
ENSMUSG00000100024	678
ENSMUSG00000140327	1191.5
ENSMUSG00000101851	315
ENSMUSG00000100407	968.5
ENSMUSG00000100718	696
ENSMUSG00000138308	1203
ENSMUSG00000129940	1189
ENSMUSG00000134025	1184.5
ENSMUSG00000100284	696
ENSMUSG00000100092	316
ENSMUSG00000136139	241
ENSMUSG00000100906	695
ENSMUSG00000123517	1187.5
ENSMUSG00000100339	696
ENSMUSG00000101273	315
ENSMUSG00000101582	696
ENSMUSG00000125613	370
ENSMUSG00000100882	696
ENSMUSG00000141214	1190
ENSMUSG00000100532	1499
ENSMUSG00000101329	2169
ENSMUSG00000100994	696
ENSMUSG00000133827	1192
ENSMUSG00000101286	1042
ENSMUSG00000100438	696
ENSMUSG00000133568	1099
ENSMUSG00000134111	1192
ENSMUSG00000100879	2168
ENSMUSG00000100591	696
ENSMUSG00000100978	693
ENSMUSG00000132191	1186.5
ENSMUSG00000099894	873
ENSMUSG00000101058	696
ENSMUSG00000100821	615
ENSMUSG00000100469	696
ENSMUSG00000100245	696
ENSMUSG00000138386	1175
ENSMUSG00000101637	696
ENSMUSG00000099740	863
ENSMUSG00000137663	359
ENSMUSG00000142004	1233.5
ENSMUSG00000138993	1149
ENSMUSG00000122194	1205.5
ENSMUSG00000140890	339
ENSMUSG00000133410	1233
ENSMUSG00000124011	1192
ENSMUSG00000094746	1028
